Local Time,Label (Target),Attention,Meditation,Alpha,Beta,Theta,Delta,Gamma,Head Pose,Gaze,Emotion
02:00:15 24/5/2026,Tập trung,88,58,92944,195358,23298,79697,32133,Quay phải,Liếc lên,Bình thường
02:00:16 24/5/2026,Tập trung,79,59,88773,195538,73356,64977,34057,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:17 24/5/2026,Tập trung,98,52,109661,212747,44979,62642,27402,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:18 24/5/2026,Tập trung,82,55,77566,174274,79963,55562,27321,Nhìn thẳng,Nhìn thẳng,Buồn bã
02:00:19 24/5/2026,Tập trung,91,40,80824,226868,43403,68109,31282,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:20 24/5/2026,Tập trung,82,60,68644,196550,38056,102346,21368,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:21 24/5/2026,Tập trung,89,54,68360,259450,49694,88012,37521,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:00:22 24/5/2026,Tập trung,77,56,85574,154326,49338,121920,25953,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:23 24/5/2026,Tập trung,91,41,99668,204930,31061,69188,29934,Quay trái,Liếc trái,Bình thường
02:00:24 24/5/2026,Tập trung,81,56,71805,202060,48253,148863,20070,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:25 24/5/2026,Tập trung,96,51,91333,191613,44936,81963,26949,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:00:26 24/5/2026,Tập trung,83,52,67920,213520,45655,89359,40616,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:27 24/5/2026,Tập trung,96,57,98986,155454,33665,76836,20920,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:28 24/5/2026,Tập trung,86,55,90246,200320,30981,67282,28131,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:29 24/5/2026,Tập trung,98,51,58113,263154,34632,66099,23915,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:30 24/5/2026,Tập trung,85,57,73622,194058,50532,123352,20024,Ngẩng lên,Liếc trái,Bình thường
02:00:31 24/5/2026,Tập trung,84,46,100740,127065,67138,100045,29525,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:32 24/5/2026,Tập trung,92,51,73675,164263,76941,121220,39384,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:00:33 24/5/2026,Tập trung,96,51,91903,246216,48462,131073,23423,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:34 24/5/2026,Tập trung,76,43,73892,275740,23819,145241,36760,Quay trái,Liếc lên,Bình thường
02:00:35 24/5/2026,Tập trung,98,42,70811,213488,23282,52881,37844,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:36 24/5/2026,Tập trung,98,40,44990,164651,44333,50283,30482,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:37 24/5/2026,Tập trung,80,54,75216,225823,22664,111619,32332,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:38 24/5/2026,Tập trung,96,57,68501,136448,63561,123954,35370,Nhìn thẳng,Nhìn thẳng,Buồn bã
02:00:39 24/5/2026,Tập trung,83,46,83066,223857,24695,121293,36993,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:40 24/5/2026,Tập trung,84,59,94632,154546,56533,109719,27830,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:41 24/5/2026,Tập trung,96,60,112934,217159,72385,133993,31197,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:00:42 24/5/2026,Tập trung,89,54,69562,172169,56271,67524,20510,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:00:43 24/5/2026,Tập trung,92,50,77927,158735,49459,73236,29189,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:00:44 24/5/2026,Tập trung,82,43,75090,200257,57012,71579,36696,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:00:45 24/5/2026,Tập trung,83,47,64064,188151,42599,107987,39209,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:46 24/5/2026,Tập trung,94,47,58476,162180,68248,125896,40410,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:47 24/5/2026,Tập trung,89,41,92159,183442,37224,74621,31591,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:48 24/5/2026,Tập trung,95,60,50728,244199,66754,55423,23084,Ngẩng lên,Liếc trái,Bình thường
02:00:49 24/5/2026,Sao nhãng,96,52,89525,273801,50834,52155,25346,Quay phải,Liếc trái,Bình thường
02:00:50 24/5/2026,Tập trung,93,42,73292,190993,33813,102215,36571,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:51 24/5/2026,Tập trung,79,48,81383,149646,22438,50211,43868,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:00:52 24/5/2026,Tập trung,76,52,109750,183677,44005,148872,30786,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:53 24/5/2026,Tập trung,78,47,71396,230191,60850,54690,25227,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:54 24/5/2026,Tập trung,78,58,54666,227297,46806,58837,27578,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:55 24/5/2026,Tập trung,80,48,93798,256560,45550,52379,42306,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:56 24/5/2026,Tập trung,82,52,85215,263495,51792,107440,41065,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:57 24/5/2026,Sao nhãng,84,50,102365,238587,27518,108900,29500,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:58 24/5/2026,Tập trung,89,46,57277,255248,70157,117257,39022,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:00:59 24/5/2026,Tập trung,95,54,84998,274625,73006,69249,36295,Nhìn thẳng,Nhìn thẳng,Bình thường
02:01:00 24/5/2026,Tập trung,81,46,60394,186028,75372,131843,37123,Nhìn thẳng,Nhìn thẳng,Bình thường
02:01:02 24/5/2026,Tập trung,83,58,86434,186830,26896,60072,26375,Nhìn thẳng,Nhìn thẳng,Bình thường
02:01:03 24/5/2026,Tập trung,76,55,80125,154955,29736,76719,39710,Nhìn thẳng,Nhìn thẳng,Buồn bã
02:01:04 24/5/2026,Tập trung,79,47,81756,135267,78244,137029,37890,Nhìn thẳng,Nhìn thẳng,Bình thường
02:01:05 24/5/2026,Tập trung,90,40,81368,248769,42330,89123,43383,Nhìn thẳng,Nhìn thẳng,Bình thường
02:01:06 24/5/2026,Tập trung,84,46,89290,194067,77839,142908,28838,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:01:07 24/5/2026,Tập trung,77,53,59078,211954,56344,137972,36427,Nhìn thẳng,Nhìn thẳng,Bình thường
02:01:08 24/5/2026,Tập trung,81,43,51050,276361,78853,131989,37378,Nhìn thẳng,Nhìn thẳng,Bình thường
02:01:09 24/5/2026,Tập trung,98,45,69307,155393,34242,98840,46322,Nhìn thẳng,Nhìn thẳng,Bình thường
02:01:10 24/5/2026,Tập trung,87,55,76273,204699,38780,80400,36123,Nhìn thẳng,Nhìn thẳng,Bình thường
02:01:11 24/5/2026,Tập trung,89,41,57672,216444,58300,73036,15918,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:07 24/5/2026,Tập trung,90,58,114717,247513,26941,123995,26502,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:09 24/5/2026,Tập trung,88,40,88109,242097,78348,92329,32274,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:10 24/5/2026,Tập trung,87,43,52873,203197,36343,93605,37628,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:11 24/5/2026,Tập trung,82,43,79792,136048,76621,75998,38789,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:12 24/5/2026,Tập trung,77,59,87957,195516,53021,83757,47949,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:06:13 24/5/2026,Tập trung,83,48,71068,154864,51439,126208,29424,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:14 24/5/2026,Tập trung,87,47,95657,120372,31973,90673,33545,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:15 24/5/2026,Tập trung,87,42,83652,241139,65462,120383,37797,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:06:16 24/5/2026,Tập trung,77,40,59870,227233,47157,127897,28505,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:17 24/5/2026,Tập trung,92,52,88475,110349,34311,52021,34177,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:18 24/5/2026,Tập trung,75,56,93935,244964,34334,134142,32524,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:06:19 24/5/2026,Tập trung,80,57,55683,274690,22441,120496,20944,Quay trái,Liếc trái,Bình thường
02:06:20 24/5/2026,Tập trung,98,45,84010,176661,55206,60533,35581,Nhìn thẳng,Nhìn thẳng,Buồn bã
02:06:21 24/5/2026,Tập trung,87,44,104393,199322,60749,116935,18870,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:22 24/5/2026,Tập trung,81,49,66617,184403,63768,86882,45339,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:23 24/5/2026,Tập trung,88,58,55026,228138,51379,149045,21318,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:24 24/5/2026,Tập trung,93,43,53200,204224,37116,90203,33788,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:25 24/5/2026,Tập trung,90,54,82108,215434,31545,61705,38249,Cúi xuống,Liếc lên,Bình thường
02:06:26 24/5/2026,Tập trung,88,52,86928,278560,37366,112975,39435,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:27 24/5/2026,Sao nhãng,77,47,69911,178279,71102,93502,33735,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:28 24/5/2026,Tập trung,75,56,99607,162820,78307,127432,23126,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:29 24/5/2026,Sao nhãng,76,49,75686,224589,35418,119465,22386,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:30 24/5/2026,Tập trung,83,49,98417,206783,32662,59554,25417,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:06:31 24/5/2026,Tập trung,83,60,113946,130340,49266,76550,35996,Quay trái,Liếc xuống,Bình thường
02:06:32 24/5/2026,Tập trung,93,40,99740,268590,45893,85146,42531,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:06:33 24/5/2026,Tập trung,76,42,66592,200007,35603,113562,38093,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:34 24/5/2026,Tập trung,91,42,103125,199912,64374,79727,44674,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:35 24/5/2026,Tập trung,93,43,91473,188136,64469,82009,20908,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:36 24/5/2026,Tập trung,82,44,97537,110099,42279,77957,38799,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:37 24/5/2026,Tập trung,97,42,53493,145354,35338,51738,26100,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:38 24/5/2026,Tập trung,86,59,69789,190310,32526,131100,28688,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:39 24/5/2026,Tập trung,89,57,99678,210252,62076,143084,43000,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:40 24/5/2026,Tập trung,96,46,94138,155858,33283,121337,31497,Nhìn thẳng,Nhìn thẳng,Buồn bã
02:06:41 24/5/2026,Tập trung,77,46,59990,143689,71632,117620,25460,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:42 24/5/2026,Tập trung,86,45,76383,217883,72213,73157,23237,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:43 24/5/2026,Sao nhãng,82,60,70994,244162,38990,57324,20600,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:44 24/5/2026,Tập trung,80,40,89377,208483,58266,61083,38152,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:45 24/5/2026,Tập trung,95,60,85262,159548,67942,119396,17467,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:46 24/5/2026,Tập trung,95,54,68193,172103,30234,94773,28711,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:06:47 24/5/2026,Sao nhãng,75,44,74881,169274,67517,86569,20222,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:48 24/5/2026,Tập trung,96,48,95628,234429,58982,54251,34225,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:49 24/5/2026,Tập trung,87,60,65780,209423,38346,143575,23580,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:06:50 24/5/2026,Tập trung,88,57,72059,178323,56583,103249,27779,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:51 24/5/2026,Tập trung,92,56,69147,196021,35026,122554,29082,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:52 24/5/2026,Tập trung,80,51,93420,233807,48383,92770,33044,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:53 24/5/2026,Tập trung,90,58,83149,268626,36372,147521,19691,Ngẩng lên,Liếc xuống,Bình thường
02:06:54 24/5/2026,Tập trung,89,50,79170,183827,44715,57894,32048,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:55 24/5/2026,Tập trung,80,54,92611,281471,36917,51175,30246,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:57 24/5/2026,Tập trung,81,41,72451,178068,64813,114018,37202,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:58 24/5/2026,Tập trung,95,44,74373,167324,68433,67434,25618,Nhìn thẳng,Nhìn thẳng,Bình thường
02:06:59 24/5/2026,Tập trung,86,47,74071,243433,28477,83812,39409,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:07:00 24/5/2026,Tập trung,86,46,49207,176667,37834,54845,21325,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:01 24/5/2026,Tập trung,75,40,80397,261773,66724,58462,41198,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:07:02 24/5/2026,Tập trung,89,53,73242,261882,22666,120956,29042,Nhìn thẳng,Nhìn thẳng,Buồn bã
02:07:03 24/5/2026,Tập trung,80,59,91146,238038,40752,116060,27622,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:04 24/5/2026,Tập trung,94,40,79065,134415,62864,122675,17717,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:05 24/5/2026,Tập trung,88,52,86165,132616,39266,78424,40421,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:06 24/5/2026,Tập trung,95,47,93540,253446,47801,126333,36068,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:07 24/5/2026,Tập trung,84,59,114686,286079,79090,103700,31510,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:08 24/5/2026,Tập trung,78,44,103932,219089,76814,86021,29797,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:09 24/5/2026,Tập trung,81,52,110342,241164,45183,148774,31933,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:10 24/5/2026,Tập trung,78,50,92738,223552,69048,105300,20361,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:11 24/5/2026,Tập trung,95,52,79624,133534,40219,61907,42317,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:12 24/5/2026,Tập trung,95,55,83989,196888,41887,123115,20639,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:13 24/5/2026,Tập trung,89,43,76035,255320,49978,67789,36247,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:14 24/5/2026,Tập trung,90,51,113718,248950,72175,78073,35113,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:15 24/5/2026,Tập trung,77,43,106173,205503,21706,120892,34534,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:16 24/5/2026,Tập trung,96,50,82839,214540,66589,141926,15225,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:17 24/5/2026,Tập trung,94,55,52257,219534,39575,88781,41568,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:18 24/5/2026,Tập trung,88,40,95749,258950,51952,98223,37139,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:19 24/5/2026,Tập trung,79,47,105393,274700,77535,94314,30313,Nhìn thẳng,Nhìn thẳng,Buồn bã
02:07:20 24/5/2026,Tập trung,76,58,60886,239115,77356,123461,44996,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:21 24/5/2026,Tập trung,97,40,77066,230678,25827,106690,22722,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:22 24/5/2026,Tập trung,87,55,62884,259407,63990,109396,40580,Cúi xuống,Liếc lên,Vui vẻ
02:07:23 24/5/2026,Tập trung,80,57,70364,202164,58350,93935,32604,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:24 24/5/2026,Tập trung,75,58,72394,147843,24994,68212,33938,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:25 24/5/2026,Tập trung,88,55,47119,172161,64792,106728,20098,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:26 24/5/2026,Tập trung,97,49,48584,168150,57979,74522,30806,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:27 24/5/2026,Tập trung,98,52,59193,191246,45727,145001,18901,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:28 24/5/2026,Tập trung,83,46,73213,138551,39062,83405,44010,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:29 24/5/2026,Tập trung,83,45,111819,178752,34247,117203,36418,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:30 24/5/2026,Tập trung,92,44,83451,263519,52990,75002,45115,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:31 24/5/2026,Tập trung,78,45,102261,157413,31495,116193,37538,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:32 24/5/2026,Tập trung,94,42,89675,231659,70768,60173,39752,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:33 24/5/2026,Tập trung,96,51,77864,212656,51564,83080,28789,Quay phải,Liếc xuống,Bình thường
02:07:34 24/5/2026,Tập trung,96,51,77864,212656,51564,83080,28789,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:07:35 24/5/2026,Tập trung,81,48,76165,248022,66069,76916,24187,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:36 24/5/2026,Tập trung,84,52,70614,229336,51508,54636,36082,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:07:37 24/5/2026,Tập trung,84,52,70614,229336,51508,54636,36082,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:38 24/5/2026,Tập trung,88,56,85438,247396,67435,51520,35510,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:40 24/5/2026,Tập trung,98,47,83945,227595,79627,86813,36251,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:41 24/5/2026,Tập trung,90,43,71020,156771,77578,94465,27891,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:07:42 24/5/2026,Tập trung,93,47,102195,182069,37032,127092,28004,Ngẩng lên,Liếc xuống,Vui vẻ
02:07:43 24/5/2026,Tập trung,93,41,97978,192953,49248,99201,29163,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:07:44 24/5/2026,Tập trung,86,60,61641,162794,55228,136561,35070,Nhìn thẳng,Nhìn thẳng,Buồn bã
02:07:45 24/5/2026,Tập trung,93,56,93597,142297,78691,117829,24705,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:46 24/5/2026,Tập trung,90,44,61791,123710,66448,145092,32687,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:07:47 24/5/2026,Tập trung,96,49,71010,134637,55998,91720,34238,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:48 24/5/2026,Tập trung,95,54,64643,236928,67914,81822,28963,Nhìn thẳng,Nhìn thẳng,Bình thường
02:07:49 24/5/2026,Tập trung,82,44,74258,247047,75561,114319,33814,Nhìn thẳng,Nhìn thẳng,Bình thường
